customer_id,customer_name,segment,Recency,Frequency,Monetary,cluster,Segment
AA-10315,Alex Avila,Consumer,184,5,5563.56,2,At Risk
AA-10375,Allen Armold,Consumer,19,9,1056.39,1,Loyal Regular
AA-10480,Andrew Allen,Consumer,259,4,1790.5120000000002,2,At Risk
AA-10645,Anna Andreadi,Consumer,55,6,5086.935,1,Loyal Regular
AB-10015,Aaron Bergman,Consumer,415,3,886.156,3,New / Low Engagement
AB-10060,Adam Bellavance,Home Office,54,8,7755.62,0,High Value
AB-10105,Adrian Barton,Consumer,41,10,14473.570999999998,0,High Value
AB-10150,Aimee Bixby,Consumer,41,5,966.71,2,At Risk
AB-10165,Alan Barnes,Consumer,25,8,1113.838,1,Loyal Regular
AB-10255,Alejandro Ballentine,Home Office,166,9,914.532,1,Loyal Regular
AB-10600,Ann Blume,Corporate,50,4,1515.862,2,At Risk
AC-10420,Alyssa Crouse,Corporate,232,3,925.8,2,At Risk
AC-10450,Amy Cox,Consumer,11,7,5527.846,1,Loyal Regular
AC-10615,Ann Chong,Corporate,6,5,2537.686,2,At Risk
AC-10660,Anna Chung,Consumer,282,5,657.316,2,At Risk
AD-10180,Alan Dominguez,Home Office,29,8,6106.88,1,Loyal Regular
AF-10870,Art Ferguson,Consumer,41,7,2052.908,1,Loyal Regular
AF-10885,Art Foster,Consumer,415,4,861.565,3,New / Low Engagement
AG-10270,Alejandro Grove,Consumer,278,5,2582.898,2,At Risk
AG-10300,Aleksandra Gannaway,Corporate,118,4,367.548,2,At Risk
AG-10330,Alex Grayson,Consumer,8,5,660.972,2,At Risk
AG-10390,Allen Goldenen,Consumer,114,5,200.945,2,At Risk
AG-10495,Andrew Gjertsen,Corporate,78,7,1419.247,2,At Risk
AG-10525,Andy Gerbode,Corporate,844,4,1455.038,3,New / Low Engagement
AG-10675,Anna Gayman,Consumer,97,7,3489.0396000000005,1,Loyal Regular
AG-10765,Anthony Garverick,Home Office,77,4,170.584,2,At Risk
AG-10900,Arthur Gainer,Consumer,96,10,4510.797,1,Loyal Regular
AH-10030,Aaron Hawkins,Corporate,12,7,1744.7,1,Loyal Regular
AH-10075,Adam Hart,Corporate,34,10,3250.337,1,Loyal Regular
AH-10120,Adrian Hane,Home Office,60,7,1735.514,1,Loyal Regular
AH-10195,Alan Haines,Corporate,55,4,1587.452,2,At Risk
AH-10210,Alan Hwang,Consumer,6,9,4805.344,1,Loyal Regular
AH-10465,Amy Hunt,Consumer,230,5,2495.3916,2,At Risk
AH-10585,Angele Hood,Consumer,21,4,738.504,2,At Risk
AH-10690,Anna Häberlin,Corporate,410,12,7888.294,0,High Value
AI-10855,Arianne Irving,Consumer,13,10,4375.786,1,Loyal Regular
AJ-10780,Anthony Jacobs,Corporate,75,7,4867.344,1,Loyal Regular
AJ-10795,Anthony Johnson,Corporate,166,7,4501.391,1,Loyal Regular
AJ-10945,Ashley Jarboe,Consumer,121,6,1829.896,2,At Risk
AJ-10960,Astrea Jones,Consumer,74,3,629.2479999999999,2,At Risk
AM-10360,Alice McCarthy,Corporate,28,5,814.012,2,At Risk
AM-10705,Anne McFarland,Consumer,162,8,5664.022,1,Loyal Regular
AO-10810,Anthony O'Donnell,Corporate,501,1,161.28,3,New / Low Engagement
AP-10720,Anne Pryor,Home Office,41,6,545.932,2,At Risk
AP-10915,Arthur Prichep,Consumer,98,10,3323.556,1,Loyal Regular
AR-10345,Alex Russell,Corporate,111,4,1055.694,2,At Risk
AR-10405,Allen Rosenblatt,Corporate,125,5,2236.128,2,At Risk
AR-10510,Andrew Roberts,Consumer,14,5,264.86400000000003,2,At Risk
AR-10540,Andy Reiter,Consumer,6,6,6608.448,0,High Value
AR-10570,Anemone Ratner,Consumer,534,1,88.15,3,New / Low Engagement
AR-10825,Anthony Rawles,Corporate,58,8,4523.336,1,Loyal Regular
AS-10045,Aaron Smayling,Corporate,88,7,3050.692,1,Loyal Regular
AS-10090,Adam Shillingsburg,Consumer,28,9,3255.31,1,Loyal Regular
AS-10135,Adrian Shami,Home Office,41,2,58.82,2,At Risk
AS-10225,Alan Schoenberger,Corporate,22,5,4260.784,2,At Risk
AS-10240,Alan Shonely,Consumer,192,5,503.968,2,At Risk
AS-10285,Alejandro Savely,Corporate,19,6,3214.236,2,At Risk
AS-10630,Ann Steele,Home Office,92,7,833.398,2,At Risk
AT-10435,Alyssa Tate,Home Office,21,5,1166.072,2,At Risk
AT-10735,Annie Thurman,Consumer,13,10,3831.864,1,Loyal Regular
AW-10840,Anthony Witt,Consumer,20,4,649.376,2,At Risk
AW-10930,Arthur Wiediger,Home Office,46,7,2852.968,1,Loyal Regular
AY-10555,Andy Yotov,Corporate,14,4,497.014,2,At Risk
AZ-10750,Annie Zypern,Consumer,160,6,1622.0179999999998,2,At Risk
BB-10990,Barry Blumstein,Corporate,105,5,744.3399999999999,2,At Risk
BB-11545,Brenda Bowman,Corporate,28,9,6765.728,0,High Value
BC-11125,Becky Castell,Home Office,202,9,2933.676,1,Loyal Regular
BD-11320,Bill Donatelli,Consumer,33,12,5718.521,1,Loyal Regular
BD-11500,Bradley Drucker,Consumer,35,6,4411.243,1,Loyal Regular
BD-11560,Brendan Dodson,Home Office,278,2,320.54,2,At Risk
BD-11605,Brian Dahlen,Consumer,97,6,2783.189,2,At Risk
BD-11620,Brian DeCherney,Consumer,69,6,1538.11,2,At Risk
BD-11635,Brian Derr,Consumer,9,3,582.646,2,At Risk
BD-11725,Bruce Degenhardt,Consumer,93,6,1526.5,2,At Risk
BD-11770,Bryan Davis,Consumer,327,6,658.466,2,At Risk
BE-11335,Bill Eplett,Home Office,119,5,4204.676,2,At Risk
BE-11410,Bobby Elias,Consumer,98,5,2261.438,2,At Risk
BE-11455,Brad Eason,Home Office,481,5,748.026,3,New / Low Engagement
BF-10975,Barbara Fisher,Corporate,91,7,599.798,2,At Risk
BF-11005,Barry Franz,Home Office,39,4,1333.88,2,At Risk
BF-11020,Barry Französisch,Corporate,74,8,2888.506,1,Loyal Regular
BF-11080,Bart Folk,Consumer,25,3,272.95,2,At Risk
BF-11170,Ben Ferrer,Home Office,16,11,5907.972,1,Loyal Regular
BF-11215,Benjamin Farhat,Home Office,65,4,1585.162,2,At Risk
BF-11275,Beth Fritzler,Corporate,57,3,791.9899999999999,2,At Risk
BG-11035,Barry Gonzalez,Consumer,28,8,2798.948,1,Loyal Regular
BG-11695,Brooke Gillingham,Corporate,36,6,1874.172,2,At Risk
BG-11740,Bruce Geld,Consumer,57,6,1006.356,2,At Risk
BH-11710,Brosina Hoffman,Consumer,23,8,6255.351,1,Loyal Regular
BK-11260,Berenike Kampe,Consumer,77,6,659.1379999999999,2,At Risk
