Order ID,Order Date,Customer ID,Customer Name,Region,Category,Sales,Ship Date,Ship Mode
CA-2024-001,2024-01-05,CUST-1042,Alice Sharma,West,Technology,899.99,2024-01-08,First Class
CA-2024-002,2024-01-07,CUST-2187,Bob Martinez,East,Furniture,1240.50,2024-01-12,Standard Class
CA-2024-003,2024-01-09,CUST-0831,Carol Zhang,South,Office Supplies,84.30,2024-01-10,Same Day
CA-2024-004,2024-01-11,CUST-3394,David Patel,Central,Technology,499.00,2024-01-14,Second Class
CA-2024-005,2024-01-14,CUST-1042,Alice Sharma,West,Office Supplies,23.75,2024-01-16,Standard Class
CA-2024-006,2024-01-15,CUST-4520,Eva Nguyen,East,Furniture,2340.00,2024-01-20,First Class
CA-2024-007,2024-01-18,CUST-0291,Frank Kim,South,Technology,319.49,2024-01-19,Same Day
CA-2024-008,2024-01-20,CUST-2187,Bob Martinez,East,Office Supplies,61.10,2024-01-24,Standard Class
CA-2024-009,2024-01-22,CUST-5678,Grace Liu,West,Furniture,775.25,2024-01-26,Second Class
CA-2024-010,2024-01-25,CUST-3394,David Patel,Central,Technology,1099.00,2024-01-28,First Class
